id,label,subPropertyOf,equivalentProperty,subproperties,domainIncludes,rangeIncludes,inverseOf,supersedes,supersededBy,isPartOf
https://schema.org/about,about,,,https://schema.org/mainEntity,"https://schema.org/Certification, https://schema.org/CommunicateAction, https://schema.org/CreativeWork, https://schema.org/Event",https://schema.org/Thing,https://schema.org/subjectOf,,,
https://schema.org/abridged,abridged,,,,https://schema.org/Book,https://schema.org/Boolean,,,,https://bib.schema.org
https://schema.org/abstract,abstract,,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,https://pending.schema.org
https://schema.org/accelerationTime,accelerationTime,,,,https://schema.org/Vehicle,https://schema.org/QuantitativeValue,,,,https://auto.schema.org
https://schema.org/acceptedAnswer,acceptedAnswer,https://schema.org/suggestedAnswer,,,https://schema.org/Question,"https://schema.org/Answer, https://schema.org/ItemList",,,,
https://schema.org/acceptedOffer,acceptedOffer,,,,https://schema.org/Order,https://schema.org/Offer,,,,
https://schema.org/acceptedPaymentMethod,acceptedPaymentMethod,,,,"https://schema.org/Demand, https://schema.org/Offer, https://schema.org/Organization","https://schema.org/LoanOrCredit, https://schema.org/PaymentMethod",,,,
https://schema.org/acceptsReservations,acceptsReservations,,,,https://schema.org/FoodEstablishment,"https://schema.org/Boolean, https://schema.org/Text, https://schema.org/URL",,,,
https://schema.org/accessCode,accessCode,,,,https://schema.org/DeliveryEvent,https://schema.org/Text,,,,
https://schema.org/accessMode,accessMode,,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/accessModeSufficient,accessModeSufficient,,,,https://schema.org/CreativeWork,https://schema.org/ItemList,,,,
https://schema.org/accessibilityAPI,accessibilityAPI,,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/accessibilityControl,accessibilityControl,,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/accessibilityFeature,accessibilityFeature,,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/accessibilityHazard,accessibilityHazard,,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/accessibilitySummary,accessibilitySummary,,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/accommodationCategory,accommodationCategory,https://schema.org/category,,,https://schema.org/Accommodation,https://schema.org/Text,,,,https://pending.schema.org
https://schema.org/accommodationFloorPlan,accommodationFloorPlan,,,,"https://schema.org/Accommodation, https://schema.org/Residence",https://schema.org/FloorPlan,,,,https://pending.schema.org
https://schema.org/accountId,accountId,https://schema.org/identifier,,,https://schema.org/Invoice,https://schema.org/Text,,,,
